"filename", "language", "JSON", "XML", "C++", "YAML", "Groovy", "Dart", "Properties", "Markdown", "Swift", "HTML", "comment", "blank", "total"
"/Users/kazimierzradzik/Desktop/drawtask/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/kazimierzradzik/Desktop/drawtask/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/Users/kazimierzradzik/Desktop/drawtask/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/kazimierzradzik/Desktop/drawtask/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/kazimierzradzik/Desktop/drawtask/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/kazimierzradzik/Desktop/drawtask/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/auth/auth_bloc.dart", "Dart", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 1, 11, 114
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/auth/auth_event.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 17, 57
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/auth/auth_state.dart", "Dart", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 10, 35
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/blocs.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/draw/draw_bloc.dart", "Dart", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 13, 134
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/draw/draw_event.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 10, 45
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/draw/draw_state.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/drawings/drawings_bloc.dart", "Dart", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/drawings/drawings_event.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/drawings/drawings_state.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 8, 27
